Rank,Company,Region,Country,Sector,Industry,ESG Score,Temperature Score (2050),Emissions: Tonnes of CO2e (Scope 1 & 2),Emissions: Tonnes of CO2e (Scope 3),Market Cap Category
1,ASML Holdings N.V.,Europe,Netherlands,Electronic Technology,Semiconductors,73.13,1.5,"155,200","8,400,000",Mega
2,Check Point Software Technologies,Middle East,Israel,Technology Services,Internet Software/Services,72.64,3,"15,323*",21.531*,Large
3,Hermes International SCA,Europe,France,Consumer Non-Durables,Apparel/Footwear,71.71,1.5,"34,600","486,400",Large
4,Linde,Europe,United Kingdom,Process Industries,Chemicals: Specialty,71.26,>2.7,"37,734,000","21,261,000",Large
5,Kone Oyj,Europe,Finland,Producer Manufacturing,Building Products,70.37,1.5,"135,100","14,105,500",Large
6,Shionogi & Co.,Asia,Japan,Health Technology,Pharmaceuticals: Major,70.04,1.5,"81,730","118,790",Large
7,"Applied Materials, Inc.",North America,United States,Producer Manufacturing,Industrial Machinery,69.77,3,"303,311*","8,400",Large
8,Beiersdorf AG,Europe,Germany,Consumer Non-Durables,Household/Personal Care,69.7,1.5,"102,027","1,041,703",Large
9,Colgate-Palmolive Company,North America,United States,Consumer Non-Durables,Household/Personal Care,69.32,1.5,"577,679","41,966,000",Large
10,L'Oreal S.A.,Europe,France,Consumer Non-Durables,Household/Personal Care,69.3,1.5,"55,778","11,169,000",Mega
11,CLP Holdings Limited,Asia,Hong Kong,Utilities,Electric Utilities,68.74,2,"47,926,000","17,091,000",Large
12,Unicharm Corporation,Asia,Japan,Consumer Non-Durables,Household/Personal Care,68.69,3,"466,000","1,942,000",Large
13,Atlas Copco,Europe,Sweden,Producer Manufacturing,Industrial Machinery,68.67,1.5,"115,000","124,000",Large
14,"Fortinet, Inc.",North America,United States,Electronic Technology,Computer Communications,68.49,1.5,"4,766","318,336*",Large
15,Xylem Inc.,North America,United States,Producer Manufacturing,Industrial Machinery,68.48,1.5,"88,990","1,968,049",Large
16,ABB Ltd.,Europe,Switzerland,Producer Manufacturing,Electrical Products,68.46,1.5,"537,000","6,126,000",Large
17,Hong Kong Exchanges & Clearing Ltd.,Asia,Hong Kong,Finance,Investment Banks/Brokers,68.27,2,"19,288",978,Large
18,Canadian Natural Resources Limited,North America,Canada,Energy Minerals,Oil & Gas Production,68.16,3,"9,030,736*","131,871,838",Large
19,Geberit AG,Europe,Switzerland,Producer Manufacturing,Building Products,68.07,2,"206,553","767,119",Large
20,Edwards Lifesciences Corporation,North America,United States,Health Technology,Medical Specialties,68.02,1.5,"47,759","31,264",Large
21,Weyerhaeuser Company,North America,United States,Finance,Real Estate Investment Trusts,67.9,2,"1,019,681","6,100,000",Large
22,Mondi plc,Europe,United Kingdom,Process Industries,Containers/Packaging,67.83,>2.7,"3,910,215","3,253,460",Large
23,Geely Automobile Holdings Limited,Asia,Hong Kong,Consumer Durables,Motor Vehicles,67.77,1.5,"663,984","11.534,383*",Large
24,Cognex Corporation,North America,United States,Electronic Technology,Electronic Equipment/Instruments,67.63,3,"16,451*","273,834*",Large
25,Kao Corp.,Asia,Japan,Consumer Non-Durables,Household/Personal Care,67.61,2,"899,000","11,184,000",Large
26,Logitech International S.A.,Europe,Switzerland,Electronic Technology,Computer Peripherals,67.58,1.5,"1,461","1,299,592",Large
27,VERBUND AG,Europe,Austria,Utilities,Electric Utilities,67.48,2,"1,059,000","335,000",Large
28,BYD Company,Asia,China,Consumer Durables,Motor Vehicles,67.34,3,"388,442*","16,536,868*",Mega
29,Goodman Group,Pacific Rim,Australia,Finance,Real Estate Investment Trusts,67.34,2,"40,560","12,308",Large
30,Li Ning Company Limited,Asia,China,Consumer Non-Durables,Apparel/Footwear,67.34,1.5,"4,735",-,Large
31,Texas Instruments Incorporated,North America,United States,Electronic Technology,Semiconductors,67.27,2.7,"2,133,617","4,630",Large
32,Marathon Oil Corporation,North America,United States,Energy Minerals,Oil & Gas Production,67.26,>2.7,"3,705,000","42,580,000",Large
33,OMRON Corporation,Asia,Japan,Electronic Technology,Electronic Equipment/Instruments,67.19,1.5,"123,394","10,996,115",Large
34,Tokyo Electron Ltd.,Asia,Japan,Producer Manufacturing,Industrial Machinery,67.16,1.5,"186,000","6,222,000",Large
35,Keysight Technologies Inc,North America,United States,Electronic Technology,Electronic Equipment/Instruments,67.05,1.5,"88,314","99,445",Large
